Region,Interest
Florida,100
California,61
Nevada,41
Arizona,33
Georgia,32
Texas,32
Alabama,31
South Carolina,31
Tennessee,30
Louisiana,30
District of Columbia,29
Kansas,29
Hawaii,28
Kentucky,28
Mississippi,27
Michigan,27
Utah,27
Pennsylvania,26
North Carolina,26
Ohio,26
Missouri,26
Indiana,26
Maryland,25
Virginia,25
Rhode Island,25
New York,25
West Virginia,25
New Jersey,25
Washington,25
New Mexico,25
Colorado,25
Illinois,24
Oklahoma,24
Arkansas,24
Delaware,24
New Hampshire,24
Connecticut,24
Montana,24
Oregon,24
Massachusetts,23
Alaska,23
Maine,23
Wyoming,22
Idaho,22
Minnesota,22
Wisconsin,22
Nebraska,21
Vermont,21
North Dakota,20
South Dakota,20
